"","ID_Buzzard","sex","year","min_age","laying_date","max_age","age","Hellmann_winter","NAO_winter","voleMarch","Hellmann_cat","NAO_cat","btw_ind_avg_age","wth_ind_age_cen"
"208",70,2,2003,7,95,7,"young",80.1,0,0,"Medium","Positive",5.33333333333333,1.66666666666667
"209",70,2,2001,5,90,7,"young",27.7,-0.41,12,"Low","Negative",5.33333333333333,-0.333333333333333
"210",70,2,2000,4,95,7,"young",3.6,1.07,10,"Low","Positive",5.33333333333333,-1.33333333333333
"211",74,2,2001,6,93,6,"young",27.7,-0.41,12,"Low","Negative",3.5,2.5
"212",74,2,2000,5,94,6,"young",3.6,1.07,10,"Low","Positive",3.5,1.5
"213",74,2,1999,4,93,6,"young",47.7,0.38,37,"Low","Positive",3.5,0.5
"214",74,2,1998,3,100,6,"young",19.3,-0.14,0,"Low","Negative",3.5,-0.5
"215",74,2,1997,2,94,6,"young",131.6,0.14,10,"High","Positive",3.5,-1.5
"216",74,2,1996,1,94,6,"young",150.5,-0.7,7,"High","Negative",3.5,-2.5
"217",75,1,2009,14,91,14,"old",56.5,0,0,"Medium","Positive",11,3
"218",75,1,2008,13,93,14,"old",20.3,0.52,18,"Low","Positive",11,2
"219",75,1,2007,12,87,14,"old",4.8,0.59,36,"Low","Positive",11,1
"220",75,1,2006,11,94,14,"old",31.5,-0.25,0,"Low","Negative",11,0
"221",75,1,2005,10,92,14,"old",32.4,0.31,32,"Low","Positive",11,-1
"222",75,1,2004,9,90,14,"old",16.3,0.42,9,"Low","Positive",11,-2
"223",75,1,2003,8,99,14,"old",80.1,0,0,"Medium","Positive",11,-3
"224",77,1,2014,16,94,16,"old",0,0.86,21,"Low","Positive",12.5,3.5
"225",77,1,2012,14,92,16,"old",88.4,1.35,22,"Medium","Positive",12.5,1.5
"226",77,1,2011,13,92,16,"old",80.6,-0.61,0,"Medium","Negative",12.5,0.5
"227",77,1,2010,12,100,16,"old",94.7,-1.18,28,"Medium","Negative",12.5,-0.5
"228",77,1,2009,11,99,16,"old",56.5,0,0,"Medium","Positive",12.5,-1.5
"229",77,1,2007,9,99,16,"old",4.8,0.59,36,"Low","Positive",12.5,-3.5
"230",82,2,2011,16,111,16,"old",80.6,-0.61,0,"Medium","Negative",11.2857142857143,4.71428571428571
"231",82,2,2008,13,88,16,"old",20.3,0.52,18,"Low","Positive",11.2857142857143,1.71428571428571
"232",82,2,2007,12,98,16,"old",4.8,0.59,36,"Low","Positive",11.2857142857143,0.714285714285714
"233",82,2,2006,11,98,16,"old",31.5,-0.25,0,"Low","Negative",11.2857142857143,-0.285714285714286
"234",82,2,2005,10,90,16,"old",32.4,0.31,32,"Low","Positive",11.2857142857143,-1.28571428571429
"235",82,2,2004,9,105,16,"old",16.3,0.42,9,"Low","Positive",11.2857142857143,-2.28571428571429
"236",82,2,2003,8,95,16,"old",80.1,0,0,"Medium","Positive",11.2857142857143,-3.28571428571429
"237",83,1,2008,13,88,13,"old",20.3,0.52,18,"Low","Positive",10.5,2.5
"238",83,1,2007,12,98,13,"old",4.8,0.59,36,"Low","Positive",10.5,1.5
"239",83,1,2006,11,98,13,"old",31.5,-0.25,0,"Low","Negative",10.5,0.5
"240",83,1,2005,10,90,13,"old",32.4,0.31,32,"Low","Positive",10.5,-0.5
"241",83,1,2004,9,105,13,"old",16.3,0.42,9,"Low","Positive",10.5,-1.5
"242",83,1,2003,8,95,13,"old",80.1,0,0,"Medium","Positive",10.5,-2.5
"243",86,2,2003,8,97,8,"old",80.1,0,0,"Medium","Positive",8,0
"244",87,1,2009,14,97,14,"old",56.5,0,0,"Medium","Positive",11.75,2.25
"245",87,1,2008,13,96,14,"old",20.3,0.52,18,"Low","Positive",11.75,1.25
"246",87,1,2007,12,93,14,"old",4.8,0.59,36,"Low","Positive",11.75,0.25
"247",87,1,2003,8,97,14,"old",80.1,0,0,"Medium","Positive",11.75,-3.75
"248",88,2,1997,2,92,2,"young",131.6,0.14,10,"High","Positive",2,0
"249",89,1,1997,2,92,2,"young",131.6,0.14,10,"High","Positive",2,0
"250",92,2,1996,1,188,1,"young",150.5,-0.7,7,"High","Negative",1,0
"251",93,1,1996,1,188,1,"young",150.5,-0.7,7,"High","Negative",1,0
"252",96,2,2001,6,95,6,"young",27.7,-0.41,12,"Low","Negative",3.6,2.4
"253",96,2,2000,5,96,6,"young",3.6,1.07,10,"Low","Positive",3.6,1.4
"254",96,2,1999,4,91,6,"young",47.7,0.38,37,"Low","Positive",3.6,0.4
