"","ID_Buzzard","sex","year","min_age","laying_date"
"641",161,2,2014,9,97
"642",161,2,2012,7,85
"643",161,2,2011,6,85
"644",161,2,2010,5,96
"645",161,2,2007,2,86
"646",161,2,2006,1,93
"647",163,2,1996,1,97
"648",164,1,1996,1,97
"649",165,2,2015,20,89
"650",165,2,2014,19,83
"651",165,2,2013,18,103
"652",165,2,2011,16,101
"653",165,2,2006,11,105
"654",165,2,2005,10,92
"655",165,2,2000,5,108
"656",165,2,1999,4,101
"657",165,2,1998,3,120
"658",166,1,2000,5,108
"659",166,1,1999,4,101
"660",166,1,1998,3,120
"661",167,2,2006,11,92
"662",167,2,2005,10,93
"663",167,2,2001,6,102
"664",167,2,2000,5,108
"665",167,2,1999,4,98
"666",168,1,2000,3,108
"667",168,1,1999,2,98
"668",173,2,2004,9,111
"669",173,2,2003,8,101
"670",173,2,2001,6,115
"671",173,2,2000,5,106
"672",173,2,1999,4,103
"673",173,2,1998,3,114
"674",173,2,1996,1,99
"675",174,1,2004,9,111
"676",174,1,2003,8,101
"677",174,1,2001,6,115
"678",174,1,2000,5,106
"679",174,1,1999,4,103
"680",174,1,1998,3,114
"681",174,1,1996,1,99
"682",175,2,2005,10,101
"683",175,2,2004,9,99
"684",175,2,2003,8,102
"685",175,2,2000,5,111
"686",175,2,1999,4,97
"687",175,2,1997,2,111
"688",176,1,2001,6,102
"689",176,1,1999,4,97
"690",176,1,1997,2,111
"691",178,2,1998,3,111
"692",178,2,1996,1,91
"693",179,1,1998,3,111
"694",179,1,1996,1,91
"695",189,2,2000,5,96
"696",189,2,1999,4,91
"697",189,2,1999,4,95
"698",189,2,1998,3,117
"699",189,2,1997,2,104
"700",190,1,2013,18,112
"701",190,1,2012,17,92
"702",190,1,2011,16,99
"703",190,1,2010,15,93
"704",190,1,2009,14,95
"705",190,1,2007,12,94
"706",190,1,2006,11,101
"707",190,1,2005,10,96
"708",190,1,2004,9,100
"709",190,1,2003,8,94
"710",190,1,2001,6,101
"711",190,1,2000,5,118
"712",190,1,2000,5,96
"713",190,1,1999,4,91
"714",190,1,1999,4,95
"715",190,1,1998,3,117
"716",190,1,1997,2,104
"717",193,2,1998,1,113
"718",194,1,1998,1,113
"719",196,2,2015,20,89
"720",196,2,2015,20,92
"721",196,2,2014,19,84
"722",196,2,2012,17,88
"723",196,2,2010,15,95
"724",196,2,2009,14,99
"725",196,2,2007,12,92
"726",196,2,2006,11,96
"727",196,2,2005,10,92
"728",196,2,2004,9,93
"729",196,2,2003,8,95
"730",196,2,2001,6,88
"731",196,2,2000,5,91
"732",196,2,1999,4,88
"733",196,2,1998,3,126
"734",196,2,1997,2,90
"735",197,1,2015,20,89
"736",197,1,2015,20,92
"737",197,1,2014,19,84
"738",197,1,2012,17,88
"739",197,1,2010,15,95
"740",197,1,2009,14,99
"741",197,1,2007,12,92
"742",197,1,2006,11,96
"743",197,1,2005,10,92
"744",197,1,2004,9,93
"745",197,1,2003,8,95
"746",197,1,2001,6,88
"747",197,1,2000,5,91
"748",197,1,1999,4,88
"749",197,1,1998,3,126
"750",197,1,1997,2,90
"751",199,1,2000,2,93
